numero,tipo,x,y
1,tomada_bx,482,705
2,tomada_bx,690,711
3,tomada_bx,330,868
4,tomada_bx,329,1119
5,tomada_bx,487,1270
6,tomada_bx,690,1262
7,tomada_bx,662,1291
8,tomada_bx,865,1263
9,tomada_alt,963,1266
10,interruptor,1010,1268
11,tomada_bx,1068,1128
12,tomada_bx,1061,846
13,tomada_bx,1105,870
14,tomada_bx,869,720
15,tomada_bx,800,996
16,luminaria,428,783
17,luminaria,428,926
18,luminaria,428,1062
19,luminaria,428,1202
20,luminaria,609,1204
21,luminaria,610,1062
22,luminaria,611,918
23,luminaria,608,783
24,luminaria,791,784
25,luminaria,801,925
26,luminaria,979,782
27,luminaria,981,918
28,luminaria,985,1059
29,luminaria,804,1063
30,luminaria,796,1200
31,luminaria,988,1202
32,luminaria,1183,784
33,luminaria,1179,924
34,luminaria,1179,1057
35,luminaria,1183,1202
36,luminaria,1368,779
37,luminaria,1369,924
38,luminaria,1367,1056
39,luminaria,1369,1199
40,tomada_bx,1247,1273
41,tomada_bx,1433,1271
42,luminaria,1552,1200
43,luminaria,1553,1059
44,luminaria,1559,919
45,luminaria,1552,778
46,luminaria,1741,782
47,luminaria,1740,923
48,luminaria,1742,1064
49,luminaria,1743,1196
50,tomada_bx,1622,1275
51,tomada_alt,1721,1269
52,interruptor,1752,1263
53,tomada_bx,1827,1141
54,tomada_bx,1819,861
55,tomada_bx,1859,871
56,tomada_bx,1855,1108
57,tomada_bx,1643,717
58,tomada_bx,1444,717
59,tomada_bx,1260,717
60,tomada_bx,1102,1114
61,tomada_bx,2002,713
62,tomada_bx,2206,721
63,tomada_bx,2000,1269
64,tomada_bx,2179,1262
65,tomada_bx,2213,1294
66,tomada_alt,2181,1297
67,tomada_bx,2389,1275
68,tomada_alt,2480,1270
69,interruptor,2513,1265
70,tomada_bx,2581,857
71,tomada_bx,2574,1130
72,tomada_bx,2319,995
73,tomada_bx,2389,716
74,luminaria,1940,780
75,luminaria,1940,924
76,luminaria,1938,1055
77,luminaria,1936,1196
78,luminaria,2125,1199
79,luminaria,2124,1065
80,luminaria,2125,925
81,luminaria,2122,782
82,luminaria,2296,778
83,luminaria,2308,923
84,luminaria,2305,1063
85,luminaria,2307,1203
86,luminaria,2493,1198
87,luminaria,2495,1061
88,luminaria,2494,922
89,luminaria,2498,785
90,luminaria,2694,782
91,luminaria,2696,922
92,luminaria,2693,1061
93,luminaria,2694,1200
94,luminaria,2881,1199
95,luminaria,2878,1062
96,luminaria,2883,919
97,luminaria,2877,783
98,luminaria,3067,782
99,luminaria,3063,925
100,luminaria,3065,1064
101,luminaria,3066,1202
102,luminaria,3252,1199
103,luminaria,3252,1059
104,luminaria,3255,921
105,luminaria,3250,781
106,tomada_bx,2773,715
107,tomada_bx,2940,712
108,tomada_bx,3132,713
109,tomada_bx,3136,1265
110,tomada_bx,2957,1268
111,tomada_bx,2762,1269
112,tomada_alt,3230,1266
113,interruptor,3268,1260
114,tomada_bx,3329,1139
115,tomada_bx,3333,861
116,luminaria,3452,781
117,luminaria,3446,912
118,luminaria,3630,777
119,luminaria,3628,915
120,luminaria,3825,779
121,luminaria,3823,917
122,luminaria,4010,781
123,luminaria,4007,920
124,luminaria,3857,1067
125,luminaria,4008,1067
126,luminaria,3606,1064
127,luminaria,3447,1067
128,interruptor,3561,1136
129,interruptor,3449,1138
130,interruptor,3891,1141
131,interruptor,3998,1141
132,tomada_alt,4075,1146
133,tomada_alt,3391,1149
134,tomada_md,3706,808
135,tomada_md,3751,802
136,tomada_alt,3500,1171
137,tomada_md,3528,1171
138,luminaria,3544,1224
139,luminaria,3912,1222
140,luminaria,4008,1363
141,luminaria,3820,1364
142,luminaria,3627,1365
143,luminaria,3442,1367
144,luminaria,3251,1368
145,luminaria,3255,1534
146,luminaria,3469,1560
147,luminaria,3690,1562
148,luminaria,3959,1556
149,quadro,4088,1564
150,luminaria,3691,1775
151,luminaria,3467,1774
152,luminaria,3258,1670
153,luminaria,3258,1811
154,tomada_md,3340,1736
155,tomada_md,3338,1791
156,tomada_alt,3574,1870
157,tomada_bx,3343,1585
158,tomada_bx,3182,1628
159,tomada_bx,3143,1621
160,tomada_bx,3149,1861
161,interruptor,3332,1448
162,tomada_alt,3239,1467
163,interruptor,3275,1477
164,interruptor,3623,1452
165,interruptor,3597,1493
166,luminaria,3066,1364
167,luminaria,2869,1360
168,luminaria,2685,1365
169,luminaria,2691,1537
170,luminaria,2691,1671
171,luminaria,2692,1816
172,luminaria,2876,1538
173,luminaria,3056,1532
174,luminaria,2871,1676
175,luminaria,3064,1673
176,luminaria,2883,1812
177,luminaria,3068,1812
178,tomada_bx,2844,1875
179,tomada_bx,2732,1468
180,tomada_alt,2671,1466
181,interruptor,2701,1475
182,tomada_bx,2845,1464
183,tomada_bx,2948,1445
184,tomada_alt,2912,1445
185,tomada_bx,2616,1623
186,tomada_bx,2612,1856
187,tomada_bx,2579,1627
188,tomada_bx,2573,1865
189,luminaria,2494,1533
190,luminaria,2314,1532
191,luminaria,2316,1674
192,luminaria,2502,1677
193,luminaria,2500,1816
194,luminaria,2315,1813
195,luminaria,2503,1368
196,luminaria,2313,1360
197,luminaria,2128,1367
198,luminaria,2121,1533
199,luminaria,2122,1680
200,luminaria,2126,1815
201,tomada_alt,2299,1472
202,interruptor,2325,1468
203,tomada_bx,2356,1468
204,tomada_bx,2237,1605
205,tomada_bx,2202,1632
206,tomada_bx,2231,1850
207,tomada_bx,2198,1861
208,tomada_bx,1990,1467
209,tomada_alt,1914,1479
210,interruptor,1947,1477
211,luminaria,1934,1535
212,luminaria,1936,1677
213,luminaria,1933,1819
214,luminaria,1739,1810
215,luminaria,1742,1673
216,luminaria,1737,1531
217,tomada_bx,1858,1602
218,tomada_bx,1824,1621
219,tomada_bx,1856,1846
220,tomada_bx,1817,1861
221,luminaria,1932,1364
222,luminaria,1747,1366
223,luminaria,1553,1365
224,luminaria,1368,1365
225,luminaria,1562,1539
226,luminaria,1562,1678
227,luminaria,1558,1816
228,tomada_alt,1544,1467
229,interruptor,1569,1489
230,tomada_bx,1608,1464
231,tomada_bx,1424,1450
232,tomada_alt,1386,1447
233,tomada_bx,1477,1606
234,tomada_bx,1446,1627
235,tomada_bx,1440,1863
236,tomada_bx,1478,1851
237,luminaria,1367,1535
238,luminaria,1364,1674
239,luminaria,1367,1817
240,luminaria,1184,1816
241,luminaria,1178,1672
242,luminaria,1183,1536
243,luminaria,1180,1364
244,luminaria,987,1367
245,luminaria,806,1370
246,luminaria,802,1531
247,luminaria,988,1536
248,luminaria,992,1818
249,luminaria,807,1811
250,luminaria,991,1682
251,luminaria,814,1637
252,tomada_alt,807,1713
253,tomada_bx,910,1674
254,tomada_bx,852,1675
255,tomada_bx,791,1671
256,tomada_bx,733,1673
257,tomada_bx,679,1675
258,tomada_bx,623,1677
259,tomada_bx,567,1676
260,tomada_bx,509,1676
261,tomada_bx,451,1674
262,tomada_bx,386,1673
263,luminaria,614,1531
264,luminaria,430,1532
265,luminaria,431,1809
266,luminaria,615,1812
267,tomada_bx,386,1874
268,tomada_bx,482,1879
269,tomada_bx,877,1884
270,tomada_bx,1084,1859
271,tomada_bx,1096,1611
272,tomada_alt,1077,1528
273,interruptor,1064,1555
274,luminaria,612,1370
275,luminaria,421,1364
