numero,tipo,x,y
90,tomada_bx,3110,1268
91,tomada_bx,2921,1262
92,tomada_bx,2729,1267
93,tomada_bx,2731,717
94,tomada_bx,2923,713
95,tomada_bx,3105,718
96,tomada_bx,3305,856
97,tomada_bx,3305,1137
98,luminaria,2660,786
99,luminaria,2851,785
100,luminaria,3033,788
101,luminaria,3220,785
102,luminaria,3220,927
103,luminaria,3034,925
104,luminaria,2847,921
105,luminaria,2663,927
106,luminaria,2662,1065
107,luminaria,2662,1206
108,luminaria,2849,1204
109,luminaria,2852,1059
110,luminaria,3034,1062
111,luminaria,3224,1062
112,luminaria,3036,1204
113,luminaria,3219,1201
114,tomada_bx,3038,993
115,luminaria,3423,785
116,luminaria,3419,917
117,luminaria,3597,780
118,luminaria,3604,918
119,luminaria,3789,786
120,luminaria,3981,777
121,luminaria,3974,914
122,luminaria,3793,917
123,luminaria,3821,1065
124,luminaria,3568,1069
125,luminaria,3411,1079
126,luminaria,3512,1226
127,luminaria,3981,1073
128,tomada_alt,4024,1150
129,interruptor,3973,1154
130,interruptor,3870,1153
131,tomada_alt,3358,1154
132,tomada_alt,3465,1173
133,tomada_md,3508,1173
134,interruptor,3545,1143
135,interruptor,3428,1130
136,tomada_md,3666,815
137,tomada_md,3723,813
138,tomada_alt,4078,1355
139,interruptor,4053,1466
140,interruptor,3854,1468
141,tomada_bx,3900,1468
142,luminaria,3970,1369
143,luminaria,3886,1228
144,luminaria,3784,1370
145,luminaria,3608,1368
146,quadro,3849,1664
147,luminaria,3928,1560
148,luminaria,3409,1369
149,luminaria,3434,1517
150,tomada_bx,3421,1468
151,interruptor,3463,1464
152,interruptor,3274,1453
153,tomada_alt,3030,1450
154,tomada_bx,3079,1451
155,luminaria,3223,1371
156,luminaria,3030,1371
157,luminaria,2845,1371
158,luminaria,2660,1368
159,luminaria,2659,1538
160,luminaria,2847,1542
161,luminaria,2844,1682
162,luminaria,2846,1819
163,luminaria,2656,1815
164,luminaria,2654,1674
165,luminaria,3032,1539
166,luminaria,3035,1678
167,luminaria,3031,1818
168,luminaria,3218,1539
169,luminaria,3228,1677
170,luminaria,3227,1819
171,tomada_bx,3318,1645
172,tomada_bx,3200,1601
173,tomada_bx,3150,1601
174,tomada_bx,3153,1478
175,tomada_bx,2954,1476
176,tomada_bx,2770,1477
177,tomada_alt,2640,1475
178,interruptor,2685,1474
179,tomada_bx,2704,1602
180,tomada_bx,2753,1603
181,tomada_bx,2716,1663
182,tomada_bx,2753,1667
183,tomada_bx,2715,1729
184,tomada_bx,2751,1727
185,tomada_bx,2720,1793
186,tomada_bx,2749,1793
187,tomada_bx,2720,1855
188,tomada_bx,2750,1855
189,tomada_bx,2942,1601
190,tomada_bx,2969,1601
191,tomada_bx,2941,1667
192,tomada_bx,2965,1664
193,tomada_bx,2941,1726
194,tomada_bx,2969,1728
195,tomada_bx,2946,1790
196,tomada_bx,2965,1790
197,tomada_bx,2942,1857
198,tomada_bx,2963,1856
199,tomada_bx,3162,1857
200,tomada_bx,3187,1857
201,tomada_bx,3161,1786
202,tomada_bx,3183,1787
203,tomada_bx,3157,1723
204,tomada_bx,3183,1725
205,tomada_bx,3156,1660
206,tomada_bx,3187,1661
207,luminaria,2472,1364
208,luminaria,2273,1364
209,luminaria,2091,1368
210,luminaria,2465,1539
211,luminaria,2280,1537
212,luminaria,2281,1680
213,luminaria,2465,1675
214,luminaria,2279,1815
215,luminaria,2468,1817
216,luminaria,2092,1536
217,luminaria,2090,1673
218,luminaria,2089,1822
219,tomada_bx,2173,1600
220,tomada_bx,2217,1602
221,tomada_bx,2179,1668
222,tomada_bx,2210,1665
223,tomada_bx,2185,1730
224,tomada_bx,2210,1730
225,tomada_bx,2181,1792
226,tomada_bx,2208,1789
227,tomada_bx,2184,1857
228,tomada_bx,2210,1857
229,tomada_bx,2402,1599
230,tomada_bx,2432,1599
231,tomada_bx,2401,1663
232,tomada_bx,2428,1659
233,tomada_bx,2402,1731
234,tomada_bx,2428,1726
235,tomada_bx,2397,1791
236,tomada_bx,2426,1790
237,tomada_bx,2408,1859
238,tomada_bx,2428,1856
239,tomada_bx,2543,1678
240,tomada_bx,2577,1677
241,luminaria,1906,1541
242,luminaria,1905,1677
243,luminaria,1903,1818
244,tomada_bx,1816,1681
245,tomada_bx,1809,1564
246,tomada_bx,1805,1789
247,tomada_bx,2022,1469
248,tomada_bx,2190,1462
249,tomada_bx,2396,1467
250,tomada_alt,1879,1480
251,interruptor,1916,1471
252,tomada_bx,1964,1602
253,tomada_bx,1992,1604
254,tomada_bx,1969,1669
255,tomada_bx,1990,1666
256,tomada_bx,1970,1725
257,tomada_bx,1987,1726
258,tomada_bx,1969,1790
259,tomada_bx,1983,1790
260,tomada_bx,1968,1851
261,tomada_bx,1983,1851
262,luminaria,1905,1368
263,luminaria,1711,1370
264,luminaria,1521,1370
265,luminaria,1522,1537
266,luminaria,1708,1539
267,luminaria,1528,1678
268,luminaria,1716,1680
269,luminaria,1522,1820
270,luminaria,1714,1817
271,tomada_bx,1641,1475
272,tomada_bx,1451,1472
273,tomada_bx,1450,1879
274,tomada_bx,1639,1882
275,tomada_bx,1255,1881
276,tomada_bx,1265,1478
277,tomada_alt,1247,1434
278,tomada_alt,1126,1481
279,interruptor,1172,1482
280,luminaria,1338,1371
281,luminaria,1151,1375
282,luminaria,1146,1537
283,luminaria,1339,1537
284,luminaria,1149,1680
285,luminaria,1143,1812
286,luminaria,1333,1681
287,luminaria,1336,1824
288,tomada_bx,1330,1724
289,luminaria,962,1370
290,luminaria,771,1371
291,luminaria,584,1370
292,luminaria,399,1371
293,tomada_alt,278,1370
294,tomada_alt,372,1471
295,interruptor,413,1471
296,tomada_bx,514,1466
297,tomada_bx,705,1465
298,tomada_bx,883,1472
299,tomada_bx,1021,1571
300,tomada_bx,1068,1578
301,tomada_bx,1075,1780
302,tomada_bx,1021,1782
303,tomada_bx,888,1877
304,tomada_bx,682,1882
305,tomada_bx,516,1886
306,tomada_bx,316,1777
307,tomada_bx,310,1577
308,luminaria,388,1547
309,luminaria,399,1678
310,luminaria,398,1822
311,luminaria,584,1542
312,luminaria,582,1678
313,luminaria,582,1822
314,luminaria,771,1819
315,luminaria,771,1682
316,luminaria,773,1542
317,luminaria,950,1539
318,luminaria,953,1677
319,luminaria,951,1819
320,tomada_bx,587,1735
321,interruptor,3551,1501
