numero,tipo,x,y
1,tomada_bx,449,713
2,tomada_bx,662,716
3,tomada_bx,844,713
4,tomada_bx,296,871
5,tomada_bx,288,1124
6,tomada_bx,655,1289
7,tomada_bx,441,1271
8,tomada_bx,656,1249
9,tomada_bx,830,1270
10,interruptor_tomada,952,1273
11,tomada_bx,1036,1132
12,tomada_bx,1073,868
13,tomada_bx,1040,842
14,tomada_bx,1068,1118
15,tomada_bx,1207,711
16,tomada_bx,1209,1270
17,luminaria,394,783
18,luminaria,393,920
19,luminaria,395,1056
20,luminaria,391,1209
21,luminaria,582,786
22,luminaria,581,932
23,luminaria,578,1066
24,luminaria,580,1206
25,luminaria,768,785
26,luminaria,762,928
27,luminaria,768,1069
28,luminaria,766,1204
29,luminaria,953,791
30,luminaria,954,940
31,luminaria,945,1054
32,luminaria,953,1212
33,tomada_bx,771,997
34,luminaria,1153,785
35,luminaria,1149,927
36,luminaria,1148,1062
37,luminaria,1152,1202
38,tomada_bx,1414,720
39,tomada_bx,1596,716
40,tomada_bx,1781,848
41,tomada_bx,1832,871
42,tomada_bx,1819,1110
43,tomada_bx,1786,1142
44,tomada_bx,1588,1267
45,tomada_bx,1407,1272
46,tomada_bx,1524,992
47,interruptor_tomada,1706,1266
48,luminaria,1336,790
49,luminaria,1335,926
50,luminaria,1340,1063
51,luminaria,1332,1210
52,luminaria,1528,790
53,luminaria,1527,918
54,luminaria,1526,1067
55,luminaria,1524,1207
56,luminaria,1715,790
57,luminaria,1709,917
58,luminaria,1706,1060
59,luminaria,1709,1207
60,luminaria,1904,789
61,luminaria,1903,925
62,luminaria,1907,1071
63,luminaria,1906,1208
64,luminaria,2080,1203
65,luminaria,2090,1067
66,luminaria,2089,923
67,luminaria,2087,783
68,luminaria,2269,789
69,luminaria,2271,931
70,luminaria,2275,1068
71,luminaria,2271,1208
72,luminaria,2461,781
73,luminaria,2462,930
74,luminaria,2456,1060
75,luminaria,2458,1206
76,tomada_bx,1974,1271
77,tomada_bx,2159,1272
78,tomada_bx,1967,721
79,tomada_bx,2162,722
80,tomada_bx,2347,715
81,tomada_bx,2542,1134
82,tomada_bx,2584,872
83,tomada_bx,2578,1107
84,tomada_bx,2539,821
85,tomada_bx,2225,1295
86,tomada_md,2180,1305
87,tomada_bx,2350,1273
88,interruptor_tomada,2466,1273
89,interruptor_tomada,3221,1270
